File Name,Size,Integer/String,Insertion,Random Quicksort,Merge,Shell,Intro,Tim
./data/integer/1000/1000_0D_0S.txt,1000,integer,129,1906,162,9,2561,0
./data/integer/1000/1000_0D_100S.txt,1000,integer,1,1983,109,12,2047,0
./data/integer/1000/1000_0D_60S.txt,1000,integer,61,1854,124,7,1594,0
./data/integer/1000/1000_20D_0S.txt,1000,integer,83,1794,146,52,1655,0
./data/integer/1000/1000_40D_0S.txt,1000,integer,75,1498,95,7,1521,0
./data/integer/5000/5000_0D_0S.txt,5000,integer,2108,8445,429,51,7499,0
./data/integer/5000/5000_0D_100S.txt,5000,integer,5,8979,646,79,10780,0
./data/integer/5000/5000_0D_60S.txt,5000,integer,1299,8687,457,65,8129,0
./data/integer/5000/5000_20D_0S.txt,5000,integer,1894,8186,455,49,8360,0
./data/integer/5000/5000_40D_0S.txt,5000,integer,3068,9117,633,87,8387,0
./data/integer/10000/10000_0D_0S.txt,10000,integer,8088,15667,961,104,15421,0
./data/integer/10000/10000_0D_100S.txt,10000,integer,11,15261,828,106,15086,0
./data/integer/10000/10000_0D_60S.txt,10000,integer,4799,15041,807,107,15074,0
./data/integer/10000/10000_20D_0S.txt,10000,integer,7175,15196,818,95,15451,0
./data/integer/10000/10000_40D_0S.txt,10000,integer,7216,15224,846,103,15659,0
./data/integer/50000/50000_0D_0S.txt,50000,integer,211185,80808,4219,609,79230,0
./data/integer/50000/50000_0D_100S.txt,50000,integer,41,76714,4019,618,78381,0
./data/integer/50000/50000_0D_60S.txt,50000,integer,129920,79260,4342,714,79088,0
./data/integer/50000/50000_20D_0S.txt,50000,integer,194646,77504,4623,633,79525,0
./data/integer/50000/50000_40D_0S.txt,50000,integer,167133,79042,4321,669,78755,0
./data/integer/100000/100000_0D_0S.txt,100000,integer,797533,169806,9111,1349,168381,0
./data/integer/100000/100000_0D_100S.txt,100000,integer,87,244708,15736,3308,262965,0
./data/integer/100000/100000_0D_60S.txt,100000,integer,768580,232041,9271,1741,264934,0
./data/integer/100000/100000_20D_0S.txt,100000,integer,1084298,213976,8517,1345,210333,0
./data/integer/100000/100000_40D_0S.txt,100000,integer,1097012,272366,19231,2689,222187,0
./data/integer/500000/500000_0D_0S.txt,500000,integer,30575654,1075279,44654,16182,936711,0
./data/integer/500000/500000_0D_100S.txt,500000,integer,448,960720,69956,8148,1198434,0
./data/integer/500000/500000_0D_60S.txt,500000,integer,20175762,1231627,59125,7936,1080140,0
./data/integer/500000/500000_20D_0S.txt,500000,integer,28654297,1138150,67329,16626,1051991,0
./data/integer/500000/500000_40D_0S.txt,500000,integer,25189076,1340872,61423,18767,1086795,0
./data/string/1000/1000_0D_0S.txt,1000,integer,2040,1640,526,99,1712,0
./data/string/1000/1000_0D_100S.txt,1000,integer,12,1902,487,181,1745,0
./data/string/1000/1000_0D_60S.txt,1000,integer,1341,1938,399,108,1965,0
./data/string/1000/1000_20D_0S.txt,1000,integer,4621,1675,583,138,1717,0
./data/string/1000/1000_40D_0S.txt,1000,integer,1740,1727,337,100,1724,0
./data/string/5000/5000_0D_0S.txt,5000,integer,62897,8603,2520,766,8634,0
./data/string/5000/5000_0D_100S.txt,5000,integer,66,8241,2486,750,8376,0
./data/string/5000/5000_0D_60S.txt,5000,integer,35747,18351,4046,696,8558,0
./data/string/5000/5000_20D_0S.txt,5000,integer,79247,12169,3065,892,12097,0
./data/string/5000/5000_40D_0S.txt,5000,integer,64692,8615,2695,716,8938,0
./data/string/10000/10000_0D_0S.txt,10000,integer,248133,17103,5174,1854,18172,0
./data/string/10000/10000_0D_100S.txt,10000,integer,144,26125,10675,2137,22735,0
./data/string/10000/10000_0D_60S.txt,10000,integer,195941,27012,6259,1593,17126,0
./data/string/10000/10000_20D_0S.txt,10000,integer,283000,17827,7051,1584,25575,0
./data/string/10000/10000_40D_0S.txt,10000,integer,246468,16856,5113,1648,17541,0
./data/string/50000/50000_0D_0S.txt,50000,integer,7217053,113759,54593,10961,136346,0
./data/string/50000/50000_0D_100S.txt,50000,integer,658,131728,57172,19294,127852,0
./data/string/50000/50000_0D_60S.txt,50000,integer,4891338,139301,33353,8826,138540,0
./data/string/50000/50000_20D_0S.txt,50000,integer,6994218,129109,58643,14167,123652,0
./data/string/50000/50000_40D_0S.txt,50000,integer,6126949,145064,48196,18972,132164,0
./data/string/100000/100000_0D_0S.txt,100000,integer,30031045,224033,69804,19730,216603,0
./data/string/100000/100000_0D_100S.txt,100000,integer,1810,252573,77601,20874,254371,0
./data/string/100000/100000_0D_60S.txt,100000,integer,19118564,202102,101239,18791,234099,0
./data/string/100000/100000_20D_0S.txt,100000,integer,28788633,265315,105977,23732,211519,0
./data/string/100000/100000_40D_0S.txt,100000,integer,24446381,263237,113996,20985,288164,0
./data/string/500000/500000_0D_0S.txt,500000,integer,806920800,1097345,482676,147465,1215302,0
./data/string/500000/500000_0D_100S.txt,500000,integer,9481,1179662,458311,112436,1472130,0
./data/string/500000/500000_0D_60S.txt,500000,integer,549007126,1131172,511459,198449,1212453,0
./data/string/500000/500000_20D_0S.txt,500000,integer,780992961,1203698,454909,157388,1272028,0
